# [1]Quality	[2]Number of sites	[3]Marginal Ts/Tv
228.4	146	1.703704	1.703704
159.3	290	2.272727	1.959184
136.3	435	3.027778	2.246269
116.2	579	2.600000	2.327586
102.1	723	3.363636	2.492754
91.0	871	2.441860	2.484000
81.3	1022	1.903846	2.384106
74.3	1174	2.707317	2.422741
68.3	1325	2.595238	2.441558
63.3	1489	2.153846	2.407323
58.3	1639	2.333333	2.400415
55.3	1783	1.880000	2.351504
52.2	1944	2.577778	2.369151
49.2	2089	1.636364	2.305380
45.8	2271	2.370370	2.310496
43.3	2438	2.150943	2.299053
40.3	2615	2.933333	2.335459
38.3	2759	2.272727	2.332126
35.4	2904	2.625000	2.345622
33.9	3053	2.170213	2.336612
31.1	3306	2.373333	2.339394
30.3	3491	1.890625	2.312144
28.3	3702	2.246154	2.308311
27.3	3976	2.010989	2.285950
26.3	4122	2.244444	2.284462
24.6	4269	1.940000	2.271264
22.9	4500	1.686047	2.235083
21.3	5424	2.756098	2.313378
19.3	5609	1.312500	2.266744
17.3	5779	1.575758	2.241167
16.4	6083	2.340659	2.245998
15.4	6273	1.235294	2.202144
13.5	6448	1.333333	2.170108
12.5	6620	3.000000	2.187289
11.6	7401	2.003846	2.166881
10.6	7569	1.625000	2.152436
9.7	7757	2.241379	2.154534
8.8	8021	1.808511	2.141794
8.0	11541	2.499006	2.242765
7.2	11739	3.400000	2.257214
7.1	11927	1.379747	2.238393
6.4	12315	1.167598	2.188762
5.6	12545	1.527473	2.173539
4.9	12759	4.095238	2.193742
4.8	13033	1.537037	2.176456
4.2	14197	1.071174	2.043301
3.6	14355	1.430769	2.034884
3.0	14389	2.400000	2.035654
