"Freq"	"Normalized_Count"	"Log_Count"
"ENSMUSG00000000276.11"	1	616.223487285146	9.26964915178882
"ENSMUSG00000000290.13"	1	7677.74385580883	12.906654608471
"ENSMUSG00000000538.18"	2	554.434140321594	9.11747204636775
"ENSMUSG00000000594.7"	1	1821.95074424958	10.8320598652454
"ENSMUSG00000000682.7"	2	10273.7314194532	13.3268130620319
"ENSMUSG00000000751.13"	12	3101.99221580531	11.5994443623753
"ENSMUSG00000000759.14"	1	1700.87702384802	10.7329110775647
"ENSMUSG00000000823.16"	2	1538.8887358625	10.588610397908
"ENSMUSG00000000827.18"	1	590.338760854469	9.20784103521783
"ENSMUSG00000000902.13"	3	926.005213278085	9.85643364205519
"ENSMUSG00000001018.15"	1	835.826166358307	9.70878415307703
"ENSMUSG00000001211.15"	1	2672.80675176118	11.3846794836945
"ENSMUSG00000001415.10"	1	2354.67511401641	11.2019248663952
"ENSMUSG00000001525.10"	1	12773.6949979514	13.6410012260786
"ENSMUSG00000001855.15"	1	1416.14503311058	10.468771698417
"ENSMUSG00000001918.17"	1	3350.81958600988	11.7107287817382
"ENSMUSG00000001983.7"	6	184.53304971547	7.53553239232749
"ENSMUSG00000002015.5"	1	1366.88055377477	10.4177265412014
"ENSMUSG00000002033.14"	2	9072.17911836464	13.1473924246862
"ENSMUSG00000002064.10"	1	740.637172387431	9.53456974640672
"ENSMUSG00000002102.15"	1	1596.50312695013	10.6416030397661
"ENSMUSG00000002228.7"	1	307.27675246739	8.26808228789776
"ENSMUSG00000002320.15"	1	593.678725555201	9.21596665444964
"ENSMUSG00000002486.15"	1	379.085993533138	8.57018205151078
"ENSMUSG00000002668.8"	1	4439.64807844867	12.1165545268533
"ENSMUSG00000003031.14"	1	3346.64463013396	11.7089306711063
"ENSMUSG00000003033.15"	1	1778.53120314005	10.7972815146274
"ENSMUSG00000003099.11"	1	1330.14094206672	10.3784476174864
"ENSMUSG00000003316.14"	1	2668.63179588526	11.3824250592036
"ENSMUSG00000003435.9"	1	3257.30057438937	11.6699039815823
"ENSMUSG00000003464.13"	1	691.372693051627	9.43540501618947
"ENSMUSG00000003545.3"	1	280.55703486153	8.13728338766538
"ENSMUSG00000003559.8"	1	253.83731725567	7.99343274475373
"ENSMUSG00000003575.13"	1	437.535375795957	8.77654941654241
"ENSMUSG00000003948.17"	1	298.926840715558	8.22846682580099
"ENSMUSG00000004207.14"	1	7441.441353232	12.8615602326693
"ENSMUSG00000004266.15"	1	4319.4093492223	12.0769522956885
"ENSMUSG00000004319.15"	1	1164.81268938046	10.1871202946329
"ENSMUSG00000004460.17"	1	1048.74891603	10.0358285831099
"ENSMUSG00000004568.13"	1	7246.05341823915	12.8231788131706
"ENSMUSG00000004849.14"	1	387.43590528497	8.60153275299938
"ENSMUSG00000004980.16"	2	13549.4017996966	13.726048010895
"ENSMUSG00000005034.15"	1	4493.92250483557	12.134080527687
"ENSMUSG00000005087.17"	1	264.69220253305	8.05361207837857
"ENSMUSG00000005299.6"	2	1223.26207164328	10.2576967062461
"ENSMUSG00000005506.16"	1	4758.61470736862	12.2166290762065
"ENSMUSG00000005510.9"	1	955.229904409494	9.90121371391741
"ENSMUSG00000005575.16"	1	1138.0929717746	10.1536697880244
"ENSMUSG00000005871.15"	2	1479.6043624245	10.5319704690957
"ENSMUSG00000005873.6"	1	691.372693051627	9.43540501618947
"ENSMUSG00000006127.9"	1	1769.34630021304	10.7898158804125
"ENSMUSG00000006304.14"	3	8280.60748429104	13.0156951109045
