"Freq"	"Normalized_Count"	"Log_Count"
"ENSMUSG00000000290.13"	1	7682.35960366267	12.907521562239
"ENSMUSG00000000682.7"	4	12658.5582278853	13.6279394404326
"ENSMUSG00000000686.11"	3	109.030833664398	6.78176405299172
"ENSMUSG00000000751.13"	13	4042.76918493745	11.9814849363913
"ENSMUSG00000000876.11"	1	336.505234834724	8.39876606886124
"ENSMUSG00000001018.15"	1	891.856531485038	9.80228456451255
"ENSMUSG00000001175.15"	1	13636.6981529177	13.7353125383095
"ENSMUSG00000001248.15"	1	8183.58768072419	12.9986940237857
"ENSMUSG00000001281.10"	1	10343.0257028687	13.336510144628
"ENSMUSG00000001525.10"	1	16194.6085743536	13.9833150601374
"ENSMUSG00000001833.17"	3	5696.27276309969	12.4760557631106
"ENSMUSG00000001983.7"	4	183.548309909849	7.52785471524314
"ENSMUSG00000002033.14"	2	11518.0486440865	13.4917339493562
"ENSMUSG00000002489.16"	1	85.4989990605709	6.43461153331643
"ENSMUSG00000002799.6"	2	56.4764030491845	5.84489787370632
"ENSMUSG00000003033.15"	1	1939.02317135533	10.9218581685177
"ENSMUSG00000004568.13"	1	6492.43316719583	12.6647657372616
"ENSMUSG00000004996.9"	1	807.926321398056	9.6598644949092
"ENSMUSG00000005087.17"	3	258.850180642095	8.02153625171056
"ENSMUSG00000005354.16"	1	2121.78708677839	11.0517439624278
"ENSMUSG00000005371.15"	1	1664.48510097735	10.7017267327349
"ENSMUSG00000005506.16"	1	3376.03387116236	11.7215409341031
"ENSMUSG00000006134.4"	1	2157.86923317092	11.0760601438774
"ENSMUSG00000006304.14"	3	10783.8554044471	13.3967192135642
"ENSMUSG00000006344.17"	1	149.034952490903	7.2291548232371
"ENSMUSG00000006498.16"	1	4995.02409190565	12.2865647186114
"ENSMUSG00000006699.17"	1	11098.3975936515	13.4381937577252
"ENSMUSG00000006731.10"	1	6952.87273094404	12.7636009479146
"ENSMUSG00000007880.16"	1	6629.70220238482	12.6949459468934
"ENSMUSG00000008475.13"	3	8004.7457377351	12.9668200811602
"ENSMUSG00000008892.12"	1	840.870889843413	9.71745518688478
"ENSMUSG00000009079.16"	1	5482.13306820486	12.4207847709741
"ENSMUSG00000009585.18"	1	3140.71552512409	11.6173368386
"ENSMUSG00000009687.14"	1	9385.28003449295	13.196337787682
"ENSMUSG00000011158.8"	1	1400.1441589277	10.452389682023
"ENSMUSG00000013483.14"	1	18.0410731962673	4.25104288925272
"ENSMUSG00000014074.17"	3	433.770151197208	8.76410908644641
"ENSMUSG00000014496.8"	11	1089.52394215718	10.0908057289665
"ENSMUSG00000015165.16"	1	6330.84790291622	12.6284108856293
"ENSMUSG00000015314.10"	1	4157.29078000941	12.0217749308357
"ENSMUSG00000015355.13"	1	4693.03221448987	12.1966120275724
"ENSMUSG00000015937.15"	1	4065.51662505449	11.9895777967108
"ENSMUSG00000016344.14"	3	1106.78062086666	10.1134564904856
"ENSMUSG00000016481.15"	3	1780.5754850229	10.7989378961496
"ENSMUSG00000016552.13"	1	152.17253043808	7.25901378107067
"ENSMUSG00000016831.12"	4	1866.07448408347	10.8665637674883
"ENSMUSG00000017639.13"	2	1429.95114942588	10.482758706074
"ENSMUSG00000018171.9"	3	819.692238699969	9.68069749954582
"ENSMUSG00000018900.7"	1	342.780390729078	8.42534344545534
"ENSMUSG00000018974.7"	2	1084.81757523642	10.0845660255495
"ENSMUSG00000019254.16"	1	1580.55489089037	10.6271279128798
"ENSMUSG00000019579.13"	4	526.328700638927	9.04255870942559
"ENSMUSG00000019763.11"	1	463.577141695389	8.85977436162704
"ENSMUSG00000019818.15"	1	8941.31275496741	13.1264322892935
"ENSMUSG00000019865.9"	1	NA	NA
"ENSMUSG00000019947.10"	1	569.47039741261	9.15600821456373
"ENSMUSG00000019996.17"	1	457.301985801035	8.84015472663052
"ENSMUSG00000020029.6"	1	505.934443982277	8.98565538186191
"ENSMUSG00000020075.8"	1	6354.37973752005	12.6337626143093
"ENSMUSG00000020137.5"	1	491.030948733187	8.94260525367183
"ENSMUSG00000020180.10"	1	2162.57560009169	11.0792018172415
"ENSMUSG00000020594.14"	1	6660.2935873698	12.701586652779
"ENSMUSG00000020647.10"	2	776.550541926286	9.60279264536075
"ENSMUSG00000020737.12"	1	3251.31514776208	11.667251345299
"ENSMUSG00000020823.16"	1	581.236314714523	9.18546101450623
"ENSMUSG00000021189.11"	1	796.944798582936	9.64014513476211
"ENSMUSG00000021242.9"	1	8957.78503919009	13.1290873766787
"ENSMUSG00000021290.6"	1	1589.9676247319	10.6356887626227
"ENSMUSG00000021482.10"	2	1078.54241934206	10.0762042181309
"ENSMUSG00000021640.6"	1	NA	NA
"ENSMUSG00000021665.9"	1	788.3164592282	9.624460023124
"ENSMUSG00000021840.17"	3	1255.81557335756	10.2955572471307
"ENSMUSG00000021911.16"	1	1200.12356479517	10.2301688596418
"ENSMUSG00000021998.16"	1	22468.1956797339	14.4556608614492
"ENSMUSG00000022013.4"	3	3284.25971620744	11.6817917119748
"ENSMUSG00000022108.8"	1	9258.20812763228	13.1766731002655
"ENSMUSG00000022142.8"	1	620.456039054235	9.27950853039827
"ENSMUSG00000022185.19"	1	5180.92558527588	12.3392725825953
"ENSMUSG00000022197.16"	1	3.13757794717691	2.04878649087969
"ENSMUSG00000022205.15"	1	2440.25124841685	11.2534050665455
"ENSMUSG00000022283.15"	3	38516.9068795438	15.2332416866626
"ENSMUSG00000022336.3"	2	9644.13021513504	13.2355850003301
"ENSMUSG00000022443.17"	2	27740.8954199647	14.7597787403748
