"Freq"	"Normalized_Count"	"Log_Count"
"ENSMUSG00000046062.5"	2	2929.06955888012	11.5167191988182
"ENSMUSG00000046079.16"	1	319.393223175758	8.32369982255841
"ENSMUSG00000046169.10"	1	560.885660211086	9.13413277177049
"ENSMUSG00000046836.13"	2	877.682190515496	9.7791976428854
"ENSMUSG00000046993.6"	2	51.9338574269525	5.72611888560602
"ENSMUSG00000047454.12"	5	333.67503396817	8.38661712289141
"ENSMUSG00000047676.6"	4	431.051016643705	8.75505786585159
"ENSMUSG00000047866.18"	1	1844.95028509249	10.8501479836824
"ENSMUSG00000047965.9"	1	124.641257824686	6.97316648111469
"ENSMUSG00000048118.17"	1	3126.41821710254	11.6107564426508
"ENSMUSG00000049502.17"	1	4061.22765078768	11.9880553764526
"ENSMUSG00000051255.6"	1	92.1825969328406	6.54198863278086
"ENSMUSG00000051391.9"	1	1564.50745498694	10.6124146633061
"ENSMUSG00000051495.7"	1	1581.3859586507	10.6278858141308
"ENSMUSG00000052889.11"	1	2378.57067015442	11.2164855859633
"ENSMUSG00000052949.14"	2	88.2875576258192	6.48038724221382
"ENSMUSG00000053038.8"	2	144.116454359793	7.18106730171828
"ENSMUSG00000053044.8"	5	22697.6923884496	14.4703215696191
"ENSMUSG00000053173.12"	2	163.5916508949	7.36274734498735
"ENSMUSG00000053453.9"	1	467.404716842572	8.87161179364785
"ENSMUSG00000053838.14"	1	1003.62179477586	9.9724367636835
"ENSMUSG00000054404.13"	9	1619.03800528524	10.6618119430766
"ENSMUSG00000054455.5"	1	911.439197843016	9.83358461507342
"ENSMUSG00000054766.13"	2	5932.14486459364	12.534581292958
"ENSMUSG00000056050.13"	1	2516.19539233585	11.2976014918694
"ENSMUSG00000057143.15"	3	2325.3384662918	11.1838452989782
"ENSMUSG00000057236.10"	5	3893.74096058576	11.9273116624212
"ENSMUSG00000057657.4"	2	62.3206289123429	5.9846036795509
"ENSMUSG00000058064.6"	1	62.3206289123429	5.9846036795509
"ENSMUSG00000058793.14"	5	4048.24418643094	11.98343693087
"ENSMUSG00000058809.8"	1	71.4090539620596	6.17809819674685
"ENSMUSG00000058835.14"	2	2803.12995461976	11.4533374958298
"ENSMUSG00000059058.7"	1	25.9669287134762	4.75311931604751
"ENSMUSG00000059208.15"	1	5127.17007447588	12.3242283940318
"ENSMUSG00000059920.9"	1	2018.92870747278	10.980088659228
"ENSMUSG00000059923.13"	1	2857.66050491806	11.4811235800583
"ENSMUSG00000060019.6"	4	698.510382392511	9.45020166033849
"ENSMUSG00000060152.14"	1	651.769910708253	9.35043074789226
"ENSMUSG00000060377.4"	4	71.4090539620596	6.17809819674685
"ENSMUSG00000060438.5"	4	231.105665549938	7.85863792814451
"ENSMUSG00000060467.4"	1	24.6685822778024	4.68193171034621
"ENSMUSG00000060550.16"	2	10007.6543261737	13.288960394936
"ENSMUSG00000060730.8"	1	22.0718894064548	4.52806424913397
"ENSMUSG00000061272.8"	2	14.2818107924119	3.93374359810719
"ENSMUSG00000061458.9"	2	446.631173871791	8.80616670156748
"ENSMUSG00000061607.15"	1	1591.77273013609	10.637324710661
"ENSMUSG00000061669.6"	1	22.0718894064548	4.52806424913397
"ENSMUSG00000061848.5"	6	233.702358421286	7.87468852871974
"ENSMUSG00000062083.1"	6	55.8288967339739	5.82855280232526
"ENSMUSG00000062284.5"	2	50.6355109912786	5.69029167817916
"ENSMUSG00000062353.6"	2	223.315586935896	7.80938606170948
"ENSMUSG00000062519.13"	2	756.935971997832	9.56593216906452
"ENSMUSG00000062611.4"	3	327.1833017898	8.3583580250983
"ENSMUSG00000062729.11"	1	664.753375064991	9.3788440270329
"ENSMUSG00000062846.7"	1	38.9503930702143	5.32013779272545
"ENSMUSG00000063442.5"	1	16.8785036637595	4.16015409051322
"ENSMUSG00000063696.7"	11	549.200542290022	9.10381375138221
"ENSMUSG00000063888.7"	3	1467.13147231141	10.5197654530875
"ENSMUSG00000063902.13"	1	431.051016643705	8.75505786585159
"ENSMUSG00000064193.8"	2	25.9669287134762	4.75311931604751
"ENSMUSG00000064215.13"	1	1338.5951751797	10.3875813696736
"ENSMUSG00000066258.13"	1	3057.60585601183	11.5786584921749
"ENSMUSG00000066487.3"	1	22.0718894064548	4.52806424913397
"ENSMUSG00000067344.7"	2	332.376687532496	8.38100941240387
"ENSMUSG00000067608.5"	1	50.6355109912786	5.69029167817916
"ENSMUSG00000068014.5"	1	14.2818107924119	3.93374359810719
"ENSMUSG00000068396.9"	2	99.9726755468835	6.65782112447051
"ENSMUSG00000068397.4"	1	7.79007861404287	3.13587606816534
"ENSMUSG00000068706.3"	1	55.8288967339739	5.82855280232526
"ENSMUSG00000068969.3"	1	14.2818107924119	3.93374359810719
"ENSMUSG00000069188.5"	1	64.9173217836906	6.04258572199768
"ENSMUSG00000070343.3"	1	358.343616245972	8.48922024652525
"ENSMUSG00000070729.5"	2	118.149525646317	6.89662939771022
"ENSMUSG00000070923.4"	1	1602.15950162148	10.6467022539791
"ENSMUSG00000071076.6"	1	1151.63328844267	10.170717875626
"ENSMUSG00000071419.7"	4	237.597397728307	7.89843449808474
"ENSMUSG00000072255.3"	1	10.3867714853905	3.50928684963606
"ENSMUSG00000072692.7"	1	663.455028629318	9.37602774869076
"ENSMUSG00000072762.9"	1	153.20487940951	7.26870460605574
"ENSMUSG00000074030.3"	3	408.979127237251	8.67940665121801
"ENSMUSG00000074305.9"	1	1554.12068350155	10.6028108281905
"ENSMUSG00000074553.4"	1	12.9834643567381	3.80564992277629
"ENSMUSG00000074825.4"	1	383.012198523774	8.58500833007072
"ENSMUSG00000074903.5"	1	44.1437788129096	5.49645528095077
"ENSMUSG00000075415.13"	5	5658.19376666647	12.4663808197543
"ENSMUSG00000076514.3"	2	127.237950696034	7.00267946560524
"ENSMUSG00000076518.6"	1	83.0941718831239	6.39393391336217
"ENSMUSG00000076534.6"	1	332.376687532496	8.38100941240387
"ENSMUSG00000076535.1"	3	74.0057468334072	6.22892923196828
"ENSMUSG00000076536.3"	2	192.155272479724	7.59361724853294
"ENSMUSG00000076538.1"	2	74.0057468334072	6.22892923196828
"ENSMUSG00000076550.3"	4	303.813065947672	8.25178093569616
"ENSMUSG00000076552.3"	2	27.26527514915	4.82095883590624
"ENSMUSG00000076564.2"	3	738.759121898399	9.53091177103704
"ENSMUSG00000076594.2"	1	24.6685822778024	4.68193171034621
"ENSMUSG00000076655.2"	2	127.237950696034	7.00267946560524
"ENSMUSG00000076680.1"	5	180.47015455866	7.50358848504384
"ENSMUSG00000076695.7"	1	55.8288967339739	5.82855280232526
"ENSMUSG00000076928.5"	1	12149.9259450355	13.5687786362127
"ENSMUSG00000076939.2"	1	215.525508321853	7.7583931849884
"ENSMUSG00000078134.1"	1	29.8619680204977	4.94775815818561
