"Freq"	"Normalized_Count"	"Log_Count"
"ENSMUSG00000000751.13"	13	3801.31721507587	11.892663181069
"ENSMUSG00000000876.11"	1	289.71433818511	8.18345841748703
"ENSMUSG00000001017.15"	1	3946.17438416843	11.9466045428385
"ENSMUSG00000001018.15"	1	693.042142325165	9.43887945586017
"ENSMUSG00000001525.10"	1	16872.5464731923	14.042475609936
"ENSMUSG00000001700.10"	1	4166.77386389761	12.0250612862986
"ENSMUSG00000001983.7"	4	225.333374143975	7.82230552365894
"ENSMUSG00000002033.14"	2	11439.92924278	13.4819166134408
"ENSMUSG00000003033.15"	1	1723.13756698333	10.7516591746846
"ENSMUSG00000004207.14"	1	8711.31250209542	13.0888399876996
"ENSMUSG00000004383.18"	3	22.722693190989	4.56819590041722
"ENSMUSG00000004568.13"	1	6487.32890602737	12.663631239092
"ENSMUSG00000004980.16"	1	16496.675256658	14.0099751232942
"ENSMUSG00000005087.17"	1	306.756358078352	8.26564485208431
"ENSMUSG00000005107.13"	1	350.308186694414	8.45659338650527
"ENSMUSG00000005506.16"	1	3759.65894422573	11.8767697583402
"ENSMUSG00000005575.16"	1	1154.12345832565	10.1738313382044
"ENSMUSG00000006304.14"	2	9969.58163754644	13.2834619518862
"ENSMUSG00000006333.14"	1	34895.4292891784	15.0907918025075
"ENSMUSG00000006498.16"	1	4822.89162978742	12.2359817816753
"ENSMUSG00000009585.18"	1	3053.36189753915	11.5766552953406
"ENSMUSG00000009687.14"	1	8364.79143093284	13.030286315
"ENSMUSG00000011158.8"	1	1602.89664884768	10.6473654657325
"ENSMUSG00000014074.17"	1	398.593909725266	8.64239078472659
"ENSMUSG00000014496.8"	4	893.759265512235	9.80535576805242
"ENSMUSG00000015355.13"	1	3758.71216534277	11.8764065014778
"ENSMUSG00000016481.15"	3	2128.35892888931	11.056203438437
"ENSMUSG00000016831.12"	3	1890.71742926688	10.8854808903369
"ENSMUSG00000017843.14"	1	4464.06243314639	12.1244646327658
"ENSMUSG00000018171.9"	3	823.697628173352	9.6877214481683
"ENSMUSG00000018476.7"	1	1033.88254019	10.015251314897
"ENSMUSG00000018796.13"	1	128.761928082271	7.01972335104909
"ENSMUSG00000018900.7"	1	304.862800312436	8.25674084368544
"ENSMUSG00000018974.7"	2	1076.48758992311	10.0734555376799
"ENSMUSG00000019254.16"	1	1652.12915076149	10.690983724286
"ENSMUSG00000019731.13"	3	1379.45683246963	10.4309300595452
"ENSMUSG00000019996.17"	1	394.806794193434	8.62865256685203
"ENSMUSG00000020300.14"	1	512.207375680211	9.00339809438159
"ENSMUSG00000020594.14"	1	6555.49698560033	12.6787095002169
"ENSMUSG00000020647.10"	4	727.126182111649	9.50804467664391
"ENSMUSG00000020737.12"	1	2933.1209794035	11.5187126419676
"ENSMUSG00000021037.7"	1	1725.03112474925	10.7532427648896
"ENSMUSG00000021156.17"	1	2409.55225712779	11.2351479901822
"ENSMUSG00000021189.11"	1	852.100994662089	9.73657273539
"ENSMUSG00000021242.9"	1	8749.18365741373	13.0950975826196
"ENSMUSG00000021262.15"	1	6047.07672545196	12.5622607262593
"ENSMUSG00000021482.10"	2	1129.50720736875	10.1427544744534
"ENSMUSG00000021585.10"	2	4095.76544767577	12.0002695811509
"ENSMUSG00000021665.9"	2	773.518347376585	9.59715560484598
"ENSMUSG00000021840.17"	4	1166.4315838041	10.1891222893305
"ENSMUSG00000021911.16"	1	1377.56327470371	10.4289497718189
"ENSMUSG00000022008.4"	1	1033.88254019	10.015251314897
