"Freq"	"Normalized_Count"	"Log_Count"
"ENSMUSG00000000686.11"	1	104.553374831187	6.72182889611854
"ENSMUSG00000000751.13"	13	3725.54114113659	11.86362147181
"ENSMUSG00000001018.15"	1	652.465997364242	9.35196835814395
"ENSMUSG00000001415.10"	1	2178.41588572321	11.0897258087983
"ENSMUSG00000001525.10"	1	16310.3264736651	13.9935864895676
"ENSMUSG00000001983.7"	6	183.961001285253	7.5310773027679
"ENSMUSG00000002033.14"	2	10397.105223719	13.3440330393206
"ENSMUSG00000003033.15"	1	1932.2522437156	10.91681417209
"ENSMUSG00000004568.13"	1	6449.22272851105	12.6551332628368
"ENSMUSG00000004980.16"	2	14757.9073764882	13.8492983000758
"ENSMUSG00000005087.17"	3	277.926692589231	8.12374219306685
"ENSMUSG00000005312.15"	1	2437.81413213982	11.2519640957449
"ENSMUSG00000005506.16"	1	4059.05317224367	11.9872829063656
"ENSMUSG00000006304.14"	2	9086.87938722695	13.1497279724312
"ENSMUSG00000006498.16"	1	4838.57137193442	12.2406635621273
"ENSMUSG00000006699.17"	1	9559.35476462864	13.2228484392357
"ENSMUSG00000009585.18"	1	2972.49215026387	11.5379425518037
"ENSMUSG00000009687.14"	1	8766.60196052888	13.0979665876816
"ENSMUSG00000014496.8"	2	1042.88682743007	10.027749595846
"ENSMUSG00000015355.13"	1	4119.93235252512	12.008755065806
"ENSMUSG00000016831.12"	3	1877.99036563866	10.8757419541444
"ENSMUSG00000018171.9"	3	758.34283263633	9.56860757907072
"ENSMUSG00000018900.7"	1	318.953966257165	8.32172054041902
"ENSMUSG00000018974.7"	2	1130.23521652954	10.1436832232191
"ENSMUSG00000019579.13"	1	501.591507101516	8.97324248223076
"ENSMUSG00000019731.13"	4	1454.48302455031	10.5072822979188
"ENSMUSG00000019818.15"	1	8360.29960517224	13.0295114839321
"ENSMUSG00000019996.17"	1	476.445758724396	8.89919303168909
"ENSMUSG00000020393.16"	1	987.30148891222	9.94880740386037
"ENSMUSG00000020594.14"	1	6111.74031608127	12.5776035639095
"ENSMUSG00000020647.10"	2	635.261011632527	9.313474909592
"ENSMUSG00000020737.12"	1	2985.72675467288	11.5443495411557
"ENSMUSG00000021189.11"	1	755.695911754528	9.56356984039267
"ENSMUSG00000021242.9"	1	8812.92307596042	13.1055685901253
"ENSMUSG00000021275.16"	1	268.662469502923	8.07501093704464
"ENSMUSG00000021290.6"	1	1308.90237605119	10.3552435797569
"ENSMUSG00000021482.10"	2	972.743424062308	9.92739787009436
"ENSMUSG00000021665.9"	1	663.053680891451	9.37515606090346
"ENSMUSG00000021840.17"	3	1253.31703753334	10.2926863303046
"ENSMUSG00000021911.16"	1	1069.35603624809	10.0638750497849
"ENSMUSG00000021998.16"	1	21004.6406575413	14.3584891672479
"ENSMUSG00000022108.8"	1	8648.81398128868	13.0784533918441
"ENSMUSG00000022283.15"	2	34576.7274789821	15.0775554346911
"ENSMUSG00000022439.9"	1	2747.50387531068	11.4244307981973
"ENSMUSG00000022475.19"	1	6069.38958197244	12.5675733925671
"ENSMUSG00000022765.10"	1	860.249286585714	9.75028707253833
"ENSMUSG00000023764.18"	1	714.668638086593	9.48314794926966
"ENSMUSG00000023795.16"	4	72.7903242495604	6.20535975030132
