"","Naive_Control_Rep_1","Naive_Control_Rep_2","Naive_Control_Rep_3","Naive_DEX_Rep_1","Naive_DEX_Rep_2","Naive_DEX_Rep_3"
"ENSMUSG00000000787.12",8654.22437280072,7909.87140250974,7207.38798767942,7961.46362679278,8041.34563891508,7970.54876860153
"ENSMUSG00000000791.9",261.203364102478,230.457564350542,330.979172332581,193.142892123407,247.487102448505,247.984169213698
"ENSMUSG00000000804.14",1180.51370262531,1173.16260113229,1019.16264267437,1073.64725327423,1036.26952522556,1025.69368418231
"ENSMUSG00000000811.13",50.9856416416249,48.4294881606212,37.0769018186771,42.6050497331044,31.7630505816264,31.1603144561715
"ENSMUSG00000000817.10",5.4907614075596,12.5248676277469,16.2776642130777,17.0420198932418,7.94076264540659,2.59669287134762
"ENSMUSG00000000823.16",1150.70671212713,1538.8887358625,1455.04231771345,1039.56321348775,1328.7542826647,1175.0035242848
"ENSMUSG00000000826.16",3531.34397954762,3759.13027067442,3417.40517006782,3648.88581491965,3644.81005424163,3556.17088731057
"ENSMUSG00000000827.18",733.408845152604,590.338760854469,686.374840984778,745.114980887849,754.372451313626,681.631878728751
"ENSMUSG00000000838.17",1160.11944596866,1095.50842184026,989.320258283725,1016.84052029676,1114.35369123873,1159.42336705671
"ENSMUSG00000000861.15",7.84394486794229,12.5248676277469,29.8423843906425,22.722693190989,17.2049857317143,16.8785036637595
"ENSMUSG00000000869.12",7.84394486794229,2.50497352554937,0,5.68067329774726,3.9703813227033,2.59669287134762
"ENSMUSG00000000876.11",336.505234834724,315.626664219221,280.337550336339,289.71433818511,256.751325534813,257.072594263415
"ENSMUSG00000000881.12",185.901493370232,237.137493752007,256.825368695226,213.97202754848,222.341354071385,183.066847430007
"ENSMUSG00000000884.17",133.347062755019,98.5289586716086,98.5702999569707,106.98601377424,123.081821003802,110.359447032274
"ENSMUSG00000000901.17",21.9630456302384,15.0298411532962,19.894922927095,19.8823565421154,15.8815252908132,12.9834643567381
