# [1]Quality	[2]Number of sites	[3]Marginal Ts/Tv
228.4	87	1.718750	1.718750
174.4	175	2.142857	1.916667
147.3	267	1.967742	1.934066
128.2	354	1.900000	1.925620
110.2	444	3.090909	2.104895
101.1	531	2.000000	2.087209
90.6	618	2.625000	2.153061
83.2	705	2.000000	2.133333
76.0	792	1.718750	2.081712
70.2	888	2.200000	2.094077
65.3	975	3.350000	2.175896
61.2	1064	2.178571	2.176119
57.2	1168	2.714286	2.217631
53.3	1268	3.000000	2.268041
49.3	1371	2.678571	2.295673
45.3	1458	2.346154	2.298643
43.2	1568	1.558140	2.232990
40.2	1657	2.423077	2.242661
38.3	1745	2.034483	2.231481
35.2	1835	2.333333	2.236332
32.1	1977	2.155556	2.230392
30.3	2065	2.520000	2.241758
28.3	2182	1.489362	2.190058
27.3	2331	1.811321	2.162822
26.3	2419	2.259259	2.166230
24.2	2517	1.722222	2.146250
22.3	2617	1.777778	2.130383
21.3	3079	2.253521	2.148262
19.3	3182	2.551724	2.159881
17.3	3395	1.597561	2.117539
15.4	3482	1.806452	2.108929
13.6	3605	2.324324	2.115817
12.5	3718	1.973684	2.111297
11.6	4262	2.108571	2.110949
10.6	4351	2.068966	2.110079
9.7	4456	1.763158	2.100905
8.8	4611	1.348485	2.067864
8.0	7014	2.427960	2.182396
7.2	7121	2.962963	2.191842
7.1	7243	2.485714	2.196381
6.4	7473	1.277228	2.157161
5.6	7583	1.291667	2.139959
4.9	7679	2.692308	2.145842
4.8	7845	1.441176	2.126744
4.2	8567	1.000000	1.985017
3.6	8658	0.654545	1.960000
3.0	8675	0.888889	1.956714
